"ProductName","Provenance","StorageType","Entity","Attribute","DataType","LinkedTo","Property"
"LITE","lite-api","RDBMS-Postgres-Django","cases_enforcementcheckid","id","int4--integer","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","good","software_or_technology_details","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","id","int4--integer","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_openlicencereturns","year","int2--smallint","NONE","CHECK"
"LITE","lite-api","RDBMS-Postgres-Django","parties_party","sub_type","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_openlicencereturns_licences","id","int4--integer","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","id","uuid--uuid","compliance_openlicencereturns","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goodstype_goodstypedocument","document_ptr_id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","decisions_decision","id","int4--integer","letter_templates_lettertemplate_decisions","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_compliancevisitcase","products_overview","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_govuser","default_queue","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","good","id","text--text","good_control_list_entries","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","regimes_regime","id","varchar--character varying","regimes_regimesubsection","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","varchar--character varying","advice","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","flag","id","int4--integer","parties_party_flags","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","f680_clearance_types_f680clearancetype","id","uuid--uuid","applications_f680clearanceapplication_types","FOREIGN KEY"
